name,ind,movement,genre,date,detail,picture,,
Street Musicians,William Henry Johnson,,,1939,,william-henry-johnson---street-musicians,link,https://www.google.fr/search?q=Street+Musicians+William+Henry+Johnson
Le Dictateur,Charlie Chaplin,,,1940,,charlie-chaplin---le-dictateur,link,https://www.google.fr/search?q=Le+Dictateur+Charlie+Chaplin
"Capitalisme, Socialisme et Démocratie",Joseph Schumpeter,,,1942,,,link,"https://www.google.fr/search?q=Capitalisme,+Socialisme+et+Démocratie+Joseph+Schumpeter"
La route de la servitude,Friedrich Hayek,,,1944,,,link,https://www.google.fr/search?q=La+route+de+la+servitude+Friedrich+Hayek
Tête sur tige,Alberto Giacometti,,,1947,,alberto-giacometti---tête-sur-tige,link,https://www.google.fr/search?q=Tête+sur+tige+Alberto+Giacometti
Glass House,Philip Johnson,,,1949,,philip-johnson---glass-house,link,https://www.google.fr/search?q=Glass+House+Philip+Johnson
Natura Morta,Giorgio Morandi,,,1952,,giorgio-morandi---natura-morta,link,https://www.google.fr/search?q=Natura+Morta+Giorgio+Morandi
Still Life (Natura morta),Giorgio Morandi,,,1952,,giorgio-morandi---still-life-(natura-morta),link,https://www.google.fr/search?q=Still+Life+(Natura+morta)+Giorgio+Morandi
Portfolio Theory,Harry Markowitz,,,1952,,,link,https://www.google.fr/search?q=Portfolio+Theory+Harry+Markowitz
Nu bleu II,Henri Matisse,,,1952,,henri-matisse---nu-bleu-ii,link,https://www.google.fr/search?q=Nu+bleu+II+Henri+Matisse
La Cité Radieuse,Le Corbusier,,,1952,,le-corbusier---la-cité-radieuse,link,https://www.google.fr/search?q=La+Cité+Radieuse+Le+Corbusier
Yale University Art Gallery,Louis Kahn,,,1953,,louis-kahn---yale-university-art-gallery,link,https://www.google.fr/search?q=Yale+University+Art+Gallery+Louis+Kahn
Notre Dame du Haut,Le Corbusier,,,1954,,le-corbusier---notre-dame-du-haut,link,https://www.google.fr/search?q=Notre+Dame+du+Haut+Le+Corbusier
Bord De Mer Au Vietnam,André Maire,,,1955,,andré-maire---bord-de-mer-au-vietnam,link,https://www.google.fr/search?q=Bord+De+Mer+Au+Vietnam+André+Maire
Seagram Building,Ludwig Mies van der Rohe,,,1957,,ludwig-mies-van-der-rohe---seagram-building,link,https://www.google.fr/search?q=Seagram+Building+Ludwig+Mies+van+der+Rohe
Helvetica,Max Miedinger,,,1957,,max-miedinger---helvetica,link,https://www.google.fr/search?q=Helvetica+Max+Miedinger
l'homme qui marche,Alberto Giacometti,,,1961,,alberto-giacometti---l'homme-qui-marche,link,https://www.google.fr/search?q=l'homme+qui+marche+Alberto+Giacometti
Capitalisme et liberté,Milton Friedman,,,1963,,,,https://www.google.fr/search?q=Capitalisme+et+liberté+Milton+Friedman
Fallingwater,Frank Lloyd Wright,,,1964,,frank-lloyd-wright---fallingwater,,https://www.google.fr/search?q=Fallingwater+Frank+Lloyd+Wright
Capital Asset Pricing Model,William F. Sharpe,,,1964,,,,https://www.google.fr/search?q=Capital+Asset+Pricing+Model+William+F.+Sharpe
Contrappunto piano,Fausto Melotti,,,1973,,fausto-melotti---contrappunto-piano,,https://www.google.fr/search?q=Contrappunto+piano+Fausto+Melotti
The pricing and options and corporate liabilities,"Fischer Black, Myron Scholes",,,1973,,,,"https://www.google.fr/search?q=The+pricing+and+options+and+corporate+liabilities+Fischer+Black,+Myron+Scholes"
I love new York,Milton Glaser,,,1977,,milton-glaser---i-love-new-york,,https://www.google.fr/search?q=I+love+new+York+Milton+Glaser
Pyramide du Louvre,Ieoh Ming Pei,Style International,,1989,,ieoh-ming-pei---pyramide-du-louvre,,https://www.google.fr/search?q=Pyramide+du+Louvre+Ieoh+Ming+Pei
Dancing House,Frank Gehry,,,1993,,frank-gehry---dancing-house,,https://www.google.fr/search?q=Dancing+House+Frank+Gehry
Bilbao Guggenheim,Frank Gehry,,,1997,,frank-gehry---bilbao-guggenheim,,https://www.google.fr/search?q=Bilbao+Guggenheim+Frank+Gehry
iPod,Jon Ive,,,2001,,jon-ive---ipod,,https://www.google.fr/search?q=iPod+Jon+Ive
Walt Disney Concert Hall,Frank Gehry,,,2003,,frank-gehry---walt-disney-concert-hall,,https://www.google.fr/search?q=Walt+Disney+Concert+Hall+Frank+Gehry
30 St Mary Axe,Norman Foster,,,2003,,norman-foster---30-st-mary-axe,,https://www.google.fr/search?q=30+St+Mary+Axe+Norman+Foster
Louis Vuitton Fondation,Frank Gehry,,,2006,,frank-gehry---louis-vuitton-fondation,,https://www.google.fr/search?q=Louis+Vuitton+Fondation+Frank+Gehry
MacBook Pro,Jon Ive,,,2006,,jon-ive---macbook-pro,,https://www.google.fr/search?q=MacBook+Pro+Jon+Ive
Hearst Tower,Norman Foster,,,2006,,norman-foster---hearst-tower,,https://www.google.fr/search?q=Hearst+Tower+Norman+Foster
iPhone,Jon Ive,,,2007,,jon-ive---iphone,,https://www.google.fr/search?q=iPhone+Jon+Ive
Obama,Yan Pei-Ming,,,2009,,yan-pei-ming---obama,,https://www.google.fr/search?q=Obama+Yan+Pei-Ming
Heydar Aliyev Center,Zaha Hadid,,,2012,,zaha-hadid---heydar-aliyev-center,,https://www.google.fr/search?q=Heydar+Aliyev+Center+Zaha+Hadid
Firestation,Alvaro Siza,,,2013,,alvaro-siza---firestation,,https://www.google.fr/search?q=Firestation+Alvaro+Siza
Mona Lisa,Banksy,,,2013,,banksy---mona-lisa,,https://www.google.fr/search?q=Mona+Lisa+Banksy
,Baroque,,,,,,,https://www.google.fr/search?q=+Baroque
,Beaumarchais,,,,,,,https://www.google.fr/search?q=+Beaumarchais
,Benjamin Constant,,,,,,,https://www.google.fr/search?q=+Benjamin+Constant
,Claire Tabouret,,,,,,,https://www.google.fr/search?q=+Claire+Tabouret
,D'Alembert,,,,,,,https://www.google.fr/search?q=+D'Alembert
,David Mellor,,,,,,,https://www.google.fr/search?q=+David+Mellor
,Denis Diderot,,,,,,,https://www.google.fr/search?q=+Denis+Diderot
,Dieter Rams,,,,,,,https://www.google.fr/search?q=+Dieter+Rams
,Édouard Vuillard,,,,,,,https://www.google.fr/search?q=+Édouard+Vuillard
,Edvard Munch,,,,,,,https://www.google.fr/search?q=+Edvard+Munch
,Emmanuel Kant,,,,,,,https://www.google.fr/search?q=+Emmanuel+Kant
,Fernand Léger,,,,,,,https://www.google.fr/search?q=+Fernand+Léger
,François Boucher,,,,,,,https://www.google.fr/search?q=+François+Boucher
,Francois Fiedler,,,,,,,https://www.google.fr/search?q=+Francois+Fiedler
,Frans Hals,,,,,,,https://www.google.fr/search?q=+Frans+Hals
,Frédéric Bazille,,,,,,,https://www.google.fr/search?q=+Frédéric+Bazille
,Jean Crotti,,,,,,,https://www.google.fr/search?q=+Jean+Crotti
,Jean-Jacques Rousseau,,,,,,,https://www.google.fr/search?q=+Jean-Jacques+Rousseau
,John Locke,,,,,,,https://www.google.fr/search?q=+John+Locke
,Josh Smith,,,,,,,https://www.google.fr/search?q=+Josh+Smith
,Julian Schnabel,,,,,,,https://www.google.fr/search?q=+Julian+Schnabel
,Les Principes de la philosophie (Cogito Ergo Sum),,,,,,,https://www.google.fr/search?q=+Les+Principes+de+la+philosophie+(Cogito+Ergo+Sum)
,Luc Tuymans,,,,,,,https://www.google.fr/search?q=+Luc+Tuymans
,Montesquieu,,,,,,,https://www.google.fr/search?q=+Montesquieu
,Paul Signac,,,,,,,https://www.google.fr/search?q=+Paul+Signac
,Philippe Starck,,,,,,,
,Thomas Gainsborough,,,,,,,https://www.google.fr/search?q=+Thomas+Gainsborough
,Thomas Hobbes,,,,,,,https://www.google.fr/search?q=+Thomas+Hobbes
,Tim Eitel,,,,,,,https://www.google.fr/search?q=+Tim+Eitel
,Voltaire,,,,,,,https://www.google.fr/search?q=+Voltaire
Aigle emblême impérial,Premier Empire | Napoléon Ier,,,1805,En référence aux aigles romaines,,,
Concordat,Premier Empire | Napoléon Ier,,,1801,"Reconnaît le catholicisme comme la religion « de la majorité des Français », et non plus comme religion d’État; calcul politique: valeur morale du sacre religieux aux yeux des catholiques + valeur symbolique d’un couronnement pontifical rappelant le sacre des empereurs germaniques. Napoléon se place à l’égal, voire au-dessus des rois européens comme successeur de Charlemagne et des empereurs de la Rome antique. François II l'avait d'ailleurs bien compris puisqu'après la proclamation de l'Empire français, il décrète que l'Autriche, alors archiduché, devient aussi un Empire.",,,
Bataille d’Austerlitz,Premier Empire | Napoléon Ier,,,1805,"Dîte «bataille des Trois-Empereurs». Napoléon brise les anciennes conceptions militaires. Pas guerre de siège à l’aide de 30k hommes, mais cherche la bataille décisive, engageant plus de 100k hommes. Objectif: anéantir l’ennemi.",,,
Création Noblesse d’Empire,Premier Empire | Napoléon Ier,,,1808,,,,
Bataille de Wagram,Premier Empire | Napoléon Ier,,,1809,,,,
Mariage Marie-Louise d’ Autriche,Premier Empire | Napoléon Ier,,,1810,,,,
Naissance de son fils,Premier Empire | Napoléon Ier,,,1811,"Napoléon donne à Napoléon François Charles Joseph le titre de ""roi de Rome""",,,
Commande l’arc de triomphe de l’Étoile,Premier Empire | Napoléon Ier,,,1806,,,,
Baccalauréat,Premier Empire | Napoléon Ier,,,1808,,,,
Code pénal,Premier Empire | Napoléon Ier,,,1810,,,,
Code civil,Premier Empire | Napoléon Ier,,,1804,"Ensemble des règles qui déterminent le statut des personnes, des biens et des relations entre les personnes privées",,,
Bataille de Trafalgar,Premier Empire | Napoléon Ier,,,1805,"France + Espagne vs. uk > victoire UK, Napoléon doit renoncer à envahir UK, malgré supériorité numérique",,,
Palais Brongniart,Premier Empire | Napoléon Ier,,,1808,Destiné à accueillir bourse de Paris. Edifice entouré d'un péristyle de style corinthien,,,
percée de la rue de Rivoli,Premier Empire | Napoléon Ier,,,1802,"Nom d’une ville italienne, victoire de Napoléon",,,
construction du Palais d’Orsay,Premier Empire | Napoléon Ier,,,1810,Bâtiment administratif,,,
cour des comptes,Premier Empire | Napoléon Ier,,,1807,,,,
mise en service du père Lachaise,Premier Empire | Napoléon Ier,,,1804,1810: carré juif; 1853: carré musulman,,,
pont des arts,Premier Empire | Napoléon Ier,,,1803,,,,
pont d’austerlitz,Premier Empire | Napoléon Ier,,,1806,,,,
pont d'iéna,Premier Empire | Napoléon Ier,,,1814,,,,
#VALUE!,,,,,,,,
mariage avec Marie-Thérèse d’Autriche,Louis XIV,,,1660,Fille du roi d'Espagne,,,
construction Pont Royal,Louis XIV,,,1689,,,,
aménagement champs elysées,Louis XIV,,,1670,par le Nôtre,,,
construction hôtel des invalides,Louis XIV,,,1670,architecture classique française,,,
construction place vendôme,Louis XIV,,,1686,,,,
construction place des victoires,Louis XIV,,,1685,,,,
construction porte saint-denis,Louis XIV,,,1672,,,,
construction porte saint-martin,Louis XIV,,,1674,,,,
Colbert Inspecteur Général des Finances,Louis XIV,,,1674,,,,
Mort de Mazaring,Louis XIV,,,1661,,,,
Marine française,Louis XIV,,,1661,FR: 10 vaisseaux / UK: 157 / Provinces-Unies: 87 > Colbert va accroître la dépense considérablement,,,
Révocation de l'édit de Nantes,Louis XIV,,,1685,"Edit de Fontainebleau: Royaume comme exclusivement catholique, les temples sont transformés en églises, persécution des juifs",,,
Canal du Midi,Louis XIV,,,1681,Relie Atlantique à Méditérranée,,,
Versailles,Louis XIV,,,1682,,,,
Acte de La Haye,Provinces-Unies,,,1581,"Alors sous contrôle du Roi d'Espagne, prennent leur indépendance et se constituent en fédération (7 provinces + dépendances)",,,
États généraux des Provinces-Unies,Provinces-Unies,,,1586,"Se constituent sous forme d'une République pour la mise en commun de certaines politiques militaires et navales, de politiques étrangères ainsi que religieuses",,,
Fin guerre contre Espagne,Provinces-Unies,,,1609,,,,
création cité Rochechouart,Second Empire | Napoléon III,,,1851,Premiers logements sociaux: s’inspire phalanstères de Charles Fourier et dans l'Icarie d'Étienne Cabet,,,
reconnaissance droit de grève,Second Empire | Napoléon III,,,1864,,,,
autorisation associations à caractère syndical,Second Empire | Napoléon III,,,1866,,,,
ouvre secondaire aux filles,Second Empire | Napoléon III,,,1965,Par Victor Duruy (ministre éducation national),,,
permet l’ouverture d’un salon des refusés,Second Empire | Napoléon III,,,1863,,,,
annexion du comté de Nice et de la Savoie,Second Empire | Napoléon III,,,1860,,,,
traité cobden-chevalier,Second Empire | Napoléon III,,,1860,Traité de libre-échange destiné à abolir les taxes douanières sur les matières premières et la majorité des produits alimentaires entre les deux pays.,,,
construction grande halle de Paris (pavillon Baltard),Second Empire | Napoléon III,,,1852,par Victor Baltard (dernier pavillon construit en 1930),,,
création grande halle de la Villette,Second Empire | Napoléon III,,,1867,"Halle aux boeufs, abattoirs, par Jules de Mérindol (élève de Baltard)",,,
Data,Second Empire | Napoléon III,,,1865,42% des parisiens ne paient pas d’impôt (categorie la plus défavoriée),,,
Préambule,Saint-Empire romain germanique,,,962,"En raison de son caractère pré-national et supranational, le Saint Empire romain ne s'est jamais développé en un État-nation moderne, comme la France ou le Royaume-Uni. Le Saint Empire est resté un tissu monarchique et corporatif dirigé par un empereur et les états impériaux avec très peu d'institutions impériales communes.",,,
Traités de Westphalie,Saint-Empire romain germanique,,,1648,"Fin de la guerre de 30 ans et guerre de 80 ans, avec Provinces-Unies (les Pays-Bas) à l'Espagne et la France (Mazarin) au Saint-Empire romain germanique.",,,
Congrès de Vienne,Saint-Empire romain germanique,,,1815,,,,
Data,Second Empire | Napoléon III,,,1870,Défaite de Sedan.,,,
Compromis Austro-hongrois,Autriche-Hongrie,,,1867,"Donne naissance à la double monarchie austro-hongroise  (et non empire hostro-hongrois), laisent les peuples slavent (tcheques, slovaques, polonais, ukraniens, etc...) et latins (italiens et roumains)",,,
Traité de Saint-Germain-en-Lay,Autriche-Hongrie,,,1919,Consacre l'effondrement de la monarchie austro-hongroise : l'ancien Empire des Habsbourg est démantelé et remplacé par une demi-douzaine d'États successeurs,,,
Traité de Presbourg,Empire d’Autriche,,,1805,Conduisit François Ier à abandonner son titre d'empereur des Romains et à prendre celui d’empereur d'Autriche,,,
Guerre Austro-Prussionne,Empire d’Autriche,,,1866,"Empire d’Autriche et confédération germanique vs. Royaume de Prusse. Surnommée la guerre fratricide allemande. La Prusse, militaire, industrielle et protestante, aspirait à diriger une nouvelle Allemagne, unifiée sous son aile et excluant l'Autriche, empire catholique, agraire et multi-ethnique (avec une majorité de peuples non-germaniques). Point culminant de la lutte pour la suprématie en Allemagne que se livraient le Royaume de Prusse et l'Empire d'Autriche depuis 1740.",,,
Première Diète d’Empire,Saint Empire Romain Germanique,,,754,"Institution du Saint-Empire chargée de veiller sur les affaires générales et de trouver une solution aux différends qui pourraient s'élever entre les États confédérés. Etats impériaux (royaume de Bohême, le comté palatin du Rhin, le duché de Saxe ou la marche de Brandebourg.), princes électeurs (élisent l’empereur), villes d’empire (appartenance aux états impériaux n'est pas liée à une personne mais à une ville en tant qu'ensemble représenté par un conseil: Lübeck, Hambourg, Brême, Francfort, Augsbourg et Nurember. Les diètes ont lieu dans des villes différentes.",,,
Abdication de François II,Saint Empire Romain Germanique,,,1806,"Sous la menace d'une guerre avec la France. Napoléon impose sa vision de l'Europe, les États qui prennent part à la Confédération fournissent à la France des troupes et en retour, sont agrandis au détriment des principautés épiscopales et des villes libres. François II ne se contente pas seulement de déposer sa couronne, il dissout entièrement le Saint-Empire sans l'approbation de la Diète d'Empire en proclamant : « Nous délions en même temps les électeurs, princes et États, et tous les membres de l'Empire, nommément aussi les membres des tribunaux suprêmes et autres officiers de l'Empire, de tous les devoirs par lesquels ils étaient liés à Nous, comme Chef légal de l'Empire, par la constitution211 ». Il dissout également les territoires de l'Empire relevant de son propre pouvoir et les soumet à l'empire autrichien. Même si la dissolution de l'Empire ne suit aucun caractère juridique, il n'y a aucune volonté ni aucun pouvoir pour le préserver.",,,
Bataille d’Austerlitz,Saint Empire Romain Germanique,,,1805,"Le Traité de Presbourg que Napoléon dicte à François II et au tsar Alexandre Ier scelle la fin de l'Empire203. Napoléon y impose en effet que la Bavière soit érigée en royaume comme le Wurtemberg et le Bade, se retrouvant ainsi à égalité avec la Prusse et l'Autriche. C'est la structure de l'Empire qui est une nouvelle fois attaquée puisqu'en acquérant leur pleine souveraineté, ces royaumes s'en détachent. C'est d'ailleurs ce que souligne une remarque de Napoléon à son ministre des Affaires étrangères Talleyrand : « J'aurai cependant arrangé la partie de l'Allemagne qui m'intéresse : il n'y aura plus de diète à Ratisbonne, puisque Ratisbonne appartiendra à la Bavière ; il n'y aura donc plus d'Empire Germanique, et nous nous en tiendrons là204 ».",,,
Traité de la Confédération du Rhin,Saint Empire Romain Germanique,,,1806,"Seize États quittent le Saint-Empire et forment la Confédération (appelée dans le traité « États confédérés du Rhin »). Napoléon Ier en est le « protecteur ». Le 6 août 1806, François II renonce à son titre d'empereur élu d'Allemagne3 et dissout le Saint-Empire romain germanique fondé en 962 par Otton Ier",,,
La France // guerre de 30 ans,Saint Empire Romain Germanique,,,1635,"La France intervient dans la guerre de 30 ans. Richelieu intervient au côté des protestants pour empêcher un renforcement du pouvoir des Habsbourg en Allemagne, la situation tourne en la défaveur de l'empereur159. C'est à ce moment-là que la guerre de religion à l'origine allemande devient un combat hégémonique à l'échelle européenne",,,
"Frédéric Ier, roi en Prusse",Royaume de Prusse,,,1701,"Frédéric III, électeur du Saint-Empire romain germanique, devient Frédéric Ier, roi en Prusse. Personne en effet ne peut être couronné roi à l'intérieur du Saint-Empire romain germanique, mais la Prusse se trouve à l'extérieur.",,,
Zollverein,Royaume de Prusse,,,1834,"Fut créée une union douanière, le Zollverein entre la Prusse et une trentaine d’états allemands du Nord",,,
Guerre de Sept Ans,Royaume de Prusse,,,1756,"Prusse et UK contre Autriche, la France, la Suède, la Russie, l’Espagne et la Saxe. But: envahir Saxe et Bohème mais échec.",,,
Bataille d'Iéna,Royaume de Prusse,,,1806,"Défaite contre Napoléon, qui s’empart de Berlin, qui intègre la Prusse à la confédération du Rhin",,,
Prusse intégré à Empire allemand,Royaume de Prusse,,,1871,Intégré à l'Empire allemand,,,
campagne de France,Royaume de Prusse,,,1814,"Fin de la guerre liée à la Sixième Coalition, qui se déroule de fin décembre 1813 à avril 1814 et pendant laquelle Napoléon Ier tente d'éviter ou d'arrêter l'invasion de la France et de conserver son trône. Malgré plusieurs victoires et après l'entrée des troupes prussiennes et russes dans Paris, l'empereur abdique le 6 avril 1814 et part en exil à l'île d'Elbe",,,
dépêche d’Ems,Royaume de Prusse,,,1870,"Prétexte à la guerre franco-prussienne. télégramme du chancelier prussien Bismarck pour apaiser es craintes d'encerclement de la France, suite à la candidature d’un Prince au trône d’Espagne.",,,
guerre franco-allemande,Royaume de Prusse,,,1870,"Guerre franco-prussienne ou guerre de 1870. La défaite de Sedan et la capitulation de Napoléon III, chute du Second Empire, l'exil de Napoléon III et marqua la naissance en France d'un régime républicain pérenne avec la Troisième République. La guerre franco-allemande s’inscrivit dans le contexte troublé du xixe siècle où les aspirations nationales de peuples s’exprimèrent à plusieurs reprises sans toujours aboutir à la création d’un État-nation.",,,
Don aux états pontificaux,Etats pontificaux,,,754,"Pépin le Bref reçoit le Pape et s'engage à créer les États pontificaux par la donation de l'exarchat de Ravenne au pape. En contrepartie, celui-ci reconnaît la dynastie carolingienne et approuve la relégation au couvent qui a été imposée au roi mérovingien Childéric III. De 756 à 758, Pépin lance trois campagnes (couronnées de succès), pour parvenir à repousser les Lombards et finalement livrer au pape les territoires conquis",,,
Indépendance,Etats pontificaux,,,1177,Indépendance vis-à-vis du saint empire,,,
Intégrés à République romaine,Etats pontificaux,,,1798,"Suite à invasion de l’Italie par la France, qui demande au Pape de quitter Rome",,,
Rétablissement,Etats pontificaux,,,1800,Lorsque les troupes napolitaines reprennent Rome,,,
Intégrés à Empire français,Etats pontificaux,,,1809,Napoléon décide d'annexer les États pontificaux à l'Empire français pour former les départements,,,
Congrès de Vienne,Etats pontificaux,,,1815,Rétablit les Etats Pontificaux,,,
Intégrés à République romaine,Etats pontificaux,,,1849,,,,
Rétablissement,Etats pontificaux,,,1849,,,,
Rattachée au royaume d'Italie,Etats pontificaux,,,1870,Unification après l'évacuation des troupes françaises,,,
,Etats pontificaux,,,1870,"Saint-Siège se trouve sans assise territoriale et donc sans légitimité autre, en la matière, que son rôle d'incarnation de l'Église catholique. Cependant, ses relations avec les autres pays se poursuivent",,,
accords du Latran,Etats pontificaux,,,1929,"Signés avec Mussolini, donne naissance à Etat de la cité du Vatican, distinct du Saint-Siège. Le Saint-Siège existe et opère au sein de la communauté internationale comme la personnification juridique de l'Église. » C'est avec lui et non l'État du Vatican que les États entretiennent des liens diplomatiques.",,,
Création,confédération de l’Allemagne du Nord,,,1867,"Sur initiative du ministre-président de Prusse Otto von Bismarck à la suite de la guerre austro-prussienne de 1866 et de la dissolution de la Confédération germanique. Pour ne pas heurter Napoléon III, Otto von Bismarck n’inclut pas les États du Sud de l’Allemagne (les royaumes de Bavière et de Wurtemberg, le Grand-duché de Bade, le sud du Hesse-Darmstadt) dans la confédération de l'Allemagne du Nord. la confédération de l'Allemagne du Nord revient au roi de Prusse",,,
création de l’empire allemand,confédération de l’Allemagne du Nord,,,1871,Donne lieu à la création de l’empire allemand,,,
roi de Prusse Guillaume Ier proclamé kaiser,empire allemand,,,1871,"Roi de Prusse Guillaume Ier est proclamé kaiser à Versailles le 18 janvier 1871 après la victoire de l'Allemagne contre la France de Napoléon III à l'issue de la Guerre franco-allemande de 1870. aboutissement de la formation d'un régime impérial dominé par la Prusse, la maison des Hohenzollern et indépendante de l'Autriche",,,
défaite de la deuxième guerre mondiale,empire allemand,,,1918,Fin avec la défaite de la deuxième guerre mondiale: Démantèlement de l'empire colonial allemand et des empires austro-hongrois et ottoman.,,,
Pépin Le Bref couronné,Royaumes francs,,,751,Pépin roi des Francs de 751 et fonde la dynastie carolingienne,,,
Concile de Tours,Royaumes francs,,,813,"Ordonne que prêches soient faits en langue vulgaire et non plus en latin, afin d'être compris par tous.",,,
traité de Meerssen,Royaumes francs,,,870,"Conclu entre Charles le Chauve et Louis le Germanique et consacre le partage de la Lotharingie, le royaume de leur neveu Lothaire II.",,,
Traité de Prüm,Royaumes francs,,,855,Division de l'empire de Lothaire Ierentre ses trois fils,,,
Clovis couronné,Royaumes francs,,,481,Clovis est couronné roi des Francs saliens,,,
bataille de soissons,Royaumes francs,,,486,Bataille de Soissons : victoire contre le « roi des Romains » Syagrius,,,
Mort de Clovis,Royaumes francs,,,511,"Mort de Clovis. Le royaume franc est partagé en cinq royaumes (Orléans, Paris, Soissons, Reims, Burgondes) entre ses fils, comme le prévoit la loi salique.",,,
Bataille de Poitiers,Royaumes francs,,,732,,,,
Monnaie unique,Royaumes francs,,,781,Charlemagne impose une monnaie unique (le denier d'argent) à tout le Royaume afin de l'unifier,,,
Début âge des Vikings,Royaumes francs,,,793,marqué par le siège de Paris puis par les incursions dans ce qui deviendra le duché de Normandie,,,
Charlemagne sacré à Rome Empereur d'Occident,Royaumes francs,,,800,Début de l'Empire carolingien. Adoption du calendrier de l'ère chrétienne,,,
Traité de Verdun,Royaumes francs,,,843,"Traité de Verdun: les trois fils de Louis le Pieux se partagent l'Empire, qui est alors dissout en trois royaumes : la Francie occidentale, la Francie médiane et la Francie orientale (Germanie)",,,
Mort de Louis V,Royaumes francs,,,987,Louis V meurt sans descendance. Élection d'Hugues Capet avec l'appui de l'Église et des Ottoniens. Fondation de la dynastie capétienne. Instauration du principe de primogéniture masculine pour la succession au trône.,,,
population,Empire Romain,,,117,88m d'habitants // 5m de km2,,,
Constantinople,Empire Romain,,,330,Constantin Ier fonde la ville de Constantinople (à la place de Byzance),,,
Fin Empire romain d'occident,Empire Romain,,,476,,,,
Création de la Turquie,Empire ottoman,,,1923,,,,
Abolition du califat,Empire ottoman,,,1924,,,,
Prise de Constantinople,Empire ottoman,,,1453,Renommé Istanbul,,,
