name,ind,movement,genre,date,detail,picture,,
Débarquement de sable,Albert Marquet,Fauvisme,,1902,,albert-marquet---débarquement-de-sable,link,https://www.google.fr/search?q=Débarquement+de+sable+Albert+Marquet
Paysage à côté de Chatou,André Derain,Fauvisme,,1904,,andré-derain---paysage-à-côté-de-chatou,link,https://www.google.fr/search?q=Paysage+à+côté+de+Chatou+André+Derain
Le bonheur de vivre,Henri Matisse,Fauvisme,Peinture historique,1906,,henri-matisse---le-bonheur-de-vivre,link,https://www.google.fr/search?q=Le+bonheur+de+vivre+Henri+Matisse
Paysage à côté de Cassis,André Derain,Fauvisme,,1907,,andré-derain---paysage-à-côté-de-cassis,link,https://www.google.fr/search?q=Paysage+à+côté+de+Cassis+André+Derain
Vence Landscape,Raoul Dufy,Fauvisme,,1908,,raoul-dufy---vence-landscape,link,https://www.google.fr/search?q=Vence+Landscape+Raoul+Dufy
Le Port de Hambourg,Albert Marquet,Fauvisme,,1909,,albert-marquet---le-port-de-hambourg,link,https://www.google.fr/search?q=Le+Port+de+Hambourg+Albert+Marquet
Danse,Henri Matisse,Fauvisme,,1910,,henri-matisse---danse,link,https://www.google.fr/search?q=Danse+Henri+Matisse
Terrasse à Vieux-Port,Albert Marquet,Fauvisme,,1927,,albert-marquet---terrasse-à-vieux-port,link,https://www.google.fr/search?q=Terrasse+à+Vieux-Port+Albert+Marquet
"Deauville, Drying the Sails",Raoul Dufy,Fauvisme,,1933,,"raoul-dufy---deauville,-drying-the-sails",link,"https://www.google.fr/search?q=Deauville,+Drying+the+Sails+Raoul+Dufy"
Sur la plage de Trouville,Eugène Boudin,Impressionisme,,1868,,eugène-boudin---sur-la-plage-de-trouville,link,https://www.google.fr/search?q=Sur+la+plage+de+Trouville+Eugène+Boudin
La Pie,Claude Monet,Impressionisme,Pastoral,1869,,claude-monet---la-pie,link,https://www.google.fr/search?q=La+Pie+Claude+Monet
Vue du canal Saint-Martin,Alfred Sisley,Impressionisme,,1870,,alfred-sisley---vue-du-canal-saint-martin,link,https://www.google.fr/search?q=Vue+du+canal+Saint-Martin+Alfred+Sisley
Bridge à Villeneuve-la-Garenne,Alfred Sisley,Impressionisme,,1872,,alfred-sisley---bridge-à-villeneuve-la-garenne,link,https://www.google.fr/search?q=Bridge+à+Villeneuve-la-Garenne+Alfred+Sisley
